19514897	16272469	294
19514897	15197179	479
19514897	6677293	747
16250137	14579493	144
16250137	17791429	241
16250137	7461171	257
16250137	6677293	295
16250137	16253106	321
16250137	7770986	390
16250137	49650310	486
16250137	15197179	698
18130267	16253106	92
18130267	7770986	161
18130267	49650310	257
18130267	15197179	469
18130267	14579493	608
18130267	17791429	705
18130267	7461171	721
18130267	6677293	759
18752428	16253106	93
18752428	7770986	162
18752428	49650310	258
18752428	15197179	470
18752428	14579493	609
18752428	17791429	706
18752428	7461171	722
18752428	6677293	760
18752426	16253106	57
18752426	7770986	126
18752426	49650310	222
18752426	15197179	434
18752426	14579493	573
18752426	17791429	670
18752426	7461171	686
18752426	6677293	724
18130598	15197179	496
18130598	6677293	786
14579088	49650310	740
14579088	16253106	803
14579088	7770986	872
14579088	15197179	952
14579088	14579493	1091
14579088	17791429	1188
14579088	7461171	1204
14579088	6677293	1242
18464147	16253106	91
18464147	16272469	137
18464147	7770986	160
18464147	15197179	240
18464147	49650310	256
18464147	14579493	379
18464147	17791429	476
18464147	7461171	492
18464147	6677293	530
41522043	6677293	57
41522043	17791429	99
41522043	14579493	150
41522043	7461171	199
41522043	16253106	425
41522043	7770986	494
41522043	15197179	583
41522043	49650310	590
14579494	14579493	699
14579494	17791429	732
14579494	7461171	748
14579494	6677293	786
14579494	49650310	858
14579494	16253106	921
14579494	7770986	990
14579494	15197179	1070
