18678374	720
9001819	1260
14581567	1279
7810038	2195
7787802	3277
2074496	3377
7478255	3518
18022059	3622
14018640	3640
24529322	4031
6590008	4224
18464147	473
19514975	626
19531567	822
19531571	805
18185281	784
19531582	710
14579536	674
19524327	737
16272469	486
15197181	98
17915327	559
17915328	550
7751409	808
17916549	521
7461174	461
9001623	1186
35495295	1430
35495294	1300
33070146	1217
15394142	1221
18678271	1116
15357081	1938
15357077	1914
35450538	1082
21057029	307
21057015	326
19514888	422
18129738	1218
8472009	876
8472010	976
18282308	1253
8567404	2104
