17915296	6902930	48865594	3327	0.067863532754667
17915296	1940049	48865594	3371	0.0952428930421134
19227136	6902930	48865594	3415	0.11191652577557164
20805410	1940049	48865594	3436	0.14020697812522298
19227136	7461171	48865594	3951	0.17058232632142323
17915296	7751409	48865594	4176	0.19343268327090304
17915296	7461174	36136934	5413	0.2615762700696502
20805410	1940049	15431724	5554	0.28898367894799654
17915296	7461174	15431724	5760	0.29404146243061435
17915296	9001729	36136934	5797	0.40063527730028053
17915296	9001729	15431724	5871	0.4503595941914057
19524316	9001729	36136934	6962	0.6481960851122822
19524316	9001729	15431724	7036	0.7286460838265799
19524316	9001729	9009951	8820	0.7366620598947845
19524316	9001729	19906425	9292	0.737414708169604
19524316	9001729	37062574	10835	0.8072849427755628
