16250137	21056991	88	0.9172975288258728
16250137	14579493	144	0.4572165334563558
16250137	18752426	265	0.39305942440613306
16250137	21057006	292	0.837486374801296
16250137	14579476	469	0.9054491700193055
16250137	21057029	696	0.42540037651992446
16250137	15197179	698	0.8417788272726243
16250137	18678374	778	0.9644882400842194
18752426	16253106	57	0.7585608058425483
18752426	18021634	158	0.10234514202377387
18752426	16272469	352	0.6984795867093737
18752426	13955186	422	0.16239469172141463
18752426	21057029	432	0.42540037651992446
18752426	15197179	434	0.8417788272726243
18752426	21057015	451	0.02915227457902647
18752426	21056991	475	0.9172975288258728
18752426	14579493	573	0.4572165334563558
18752426	21057006	721	0.837486374801296
18752426	16250137	744	0.5131905716983992
18752426	9001819	892	0.3477420361848632
18752426	14579476	898	0.9054491700193055
18752426	18678374	1207	0.9644882400842194
18752426	14581567	1933	0.028221866820502206
