15197179	19514897	100
15197179	41522043	309
15197179	18464147	322
15197179	16250137	386
15197179	18130598	440
15197179	14579088	482
16272469	19514897	129
16272469	18464147	137
16272469	18130598	239
16272469	41522043	486
16272469	16250137	563
16272469	14579088	659
16253106	18130598	135
16253106	19514897	377
16253106	41522043	510
16253106	16250137	587
16253106	14579088	683
14579493	14579088	267
14579493	41522043	746
14579493	16250137	823
14579493	18464147	865
14579493	19514897	1118
49650310	18464147	142
49650310	19514897	242
49650310	18130598	368
49650310	41522043	612
49650310	16250137	689
49650310	14579088	785
7770986	18464147	505
7770986	18130598	713
7770986	19514897	758
7770986	41522043	960
7770986	16250137	1037
17791429	41522043	154
17791429	16250137	251
17791429	19514897	645
7461171	14579088	268
7461171	41522043	747
7461171	16250137	824
7461171	18464147	866
7461171	18752426	936
7461171	18130598	1074
7461171	19514897	1119
6677293	41522043	57
6677293	16250137	154
6677293	19514897	532
