18678374	778
9001819	1156
14581567	1337
7810038	2091
7787802	3173
2074496	3273
14018640	3536
7478255	3576
18022059	3680
24529322	3927
6590008	4120
19514897	854
18464147	550
19514975	703
19531567	899
19531571	882
18185281	861
19531582	807
19524327	834
16272469	563
15197181	195
17915327	636
17915328	627
7751409	885
17916549	598
7461174	558
9001725	606
9001623	1263
35495295	1507
35495294	1377
33070146	1294
15394142	1298
18678271	1193
15357081	2015
15357077	1991
35450538	1159
18129738	1295
8472009	953
8472010	1053
18282308	1801
8567404	2181
