16253108	49650310	13955186	15175195	9001819	2573	0.028489136827546935
16253108	49650310	13955186	21057029	9001819	2845	0.03848603854549075
16253108	49650310	13955186	12998942	9001819	2956	0.08500576311720949
16253108	49650310	13955186	8515734	9001819	3474	0.0940020206923861
16253108	49650310	13955186	21057029	14581567	4341	0.2225486989470326
16253108	49650310	13955186	19514888	14581567	4437	0.4122044574120389
16253108	49650310	14579476	18129738	14581567	5176	0.4377264447457699
16253108	49650310	13955186	12998942	14581567	5229	0.49155285136383986
16253108	49650310	14579476	12998942	14581567	6560	0.4973353541872109
16253108	15197179	14579476	19309303	14581567	6679	0.5047971896802013
16253108	49650310	14579476	19309303	14581567	6770	0.5403616034621002
16253108	49650310	35495294	19309303	14581567	7106	0.5963205572580523
