			ASJQ									Normal Skyline

Source		Destination	Join1	JOin2	Join3	Final		Time		Join1	JOin2	Join3	Final		Time


19514897	16250137	138	875	22	3		1855410686	138	1430	207	3		869887773
19514897	18130267	138	875	0	0		1023099642	138	1430	0	0		788738010
19514897	18752428	138	875	0	0		840516287	138	1430	0	0		894401992
19514897	18752426	138	875	7	3		873843825	138	1430	17	3		858529867
19514897	18130598	138	875	0	0		903279070	138	1430	0	0		857482611
19514897	14579088	138	875	3	3		1049257251	138	1430	23	3		1026279028
19514897	18464147	138	875	35	3		973992663	138	1430	243	3		852135707
19514897	41522043	138	875	19	4		805695641	138	1430	189	4		875836509
19514897	14579494	138	875	23	4		825268065	138	1430	229	4		820870553
19514897	19514975	138	875	10	5		829478734	138	1430	21	5		852352305
19514897	16253108	138	875	16	3		874064359	138	1430	102	3		811397677
19514897	18021636	138	875	1	1		852495929	138	1430	3	1		796353025
19514897	18130744	138	875	5	4		801619070	138	1430	16	4		765633081
19514897	19227136	138	875	23	7		854829173	138	1430	203	7		723723118
19514897	19214639	138	875	25	3		752857453	138	1430	216	3		797770110
19514897	18130746	138	875	2	1		720848949	138	1430	9	1		799122619
19514897	19531567	138	875	9	3		720199990	138	1430	17	3		812736451
19514897	19531571	138	875	8	4		941027993	138	1430	16	4		724339802
19514897	18185281	138	875	8	5		725599125	138	1430	16	5		669079007
19514897	21049304	138	875	26	3		737172126	138	1430	243	3		759833203
19514897	19531582	138	875	21	3		700806738	138	1430	120	3		681552632
19514897	14579536	138	875	21	4		736820914	138	1430	216	4		713963444
19514897	17915296	138	875	43	7		727366195	138	1430	257	7		729353667
19514897	13227225	138	875	2	1		726111338	138	1430	9	1		767199845
19514897	7816860	138	875	6	3		715574883	138	1430	80	3		709482391
19514897	18752420	138	875	1	1		749640968	138	1430	6	1		711137553
19514897	20805410	138	875	24	7		686221789	138	1430	220	7		744108338
19514897	19524327	138	875	5	4		740813134	138	1430	16	4		705547947
19514897	19524316	138	875	2	2		692035331	138	1430	7	2		752794052
19514897	15197179	138	875	63	8		708446101	138	1430	440	8		728966161
19514897	16272469	138	875	52	8		718671474	138	1430	391	8		728197230
19514897	16211076	138	875	0	0		713742913	138	1430	0	0		809054800
19514897	16253106	138	875	52	6		729336459	138	1430	398	6		767541114
19514897	14579493	138	875	9	4		752718075	138	1430	93	4		693750683
19514897	49650310	138	875	25	5		652033562	138	1430	196	5		714174009
19514897	7770986	138	875	2	2		670126964	138	1430	19	2		686285106
19514897	17791429	138	875	24	7		748751926	138	1430	212	7		1041153927
19514897	7461171	138	875	36	8		742676049	138	1430	308	8		611422039
19514897	6677293	138	875	56	8		651441343	138	1430	387	8		677569123
