15197179	21057029	2
15197179	21057015	17
15197179	12998942	98
15197179	19514897	100
15197179	21056991	117
15197179	19514888	136
15197179	14579493	215
15197179	21057006	363
15197179	16250137	386
15197179	14579476	540
15197179	18678374	849
16272469	19514888	77
16272469	16253106	104
16272469	18021634	205
16272469	12998942	205
16272469	13955186	294
16272469	21056991	294
16272469	14579493	392
16272469	16250137	563
16272469	14579476	717
16272469	9001819	764
16272469	18678374	1026
16272469	14581567	1980
16253106	16211076	127
16253106	21057029	275
16253106	15197179	277
16253106	21057015	294
16253106	21056991	318
16253106	12998942	375
16253106	14579493	416
16253106	16210652	523
16253106	21057006	564
16253106	16250137	587
16253106	14579476	741
16253106	18678374	1050
16253106	14581567	1876
14579493	14579476	367
14579493	18678374	676
14579493	21057006	800
14579493	18021634	811
14579493	16210652	814
14579493	16250137	823
14579493	16253106	938
14579493	16272469	1005
14579493	13955186	1075
14579493	21057029	1085
14579493	15197179	1087
14579493	21057015	1104
14579493	21056991	1128
14579493	14581567	1227
14579493	9001819	1545
14579493	7787802	3562
