18678374	1050
9001819	1089
7810038	1873
14581567	1876
2074496	2751
7787802	3106
14018640	3469
24529322	3860
6590008	4053
7478255	4469
18022059	4573
18130267	92
18752428	93
18752426	57
14579088	803
18464147	91
16253108	140
19531582	414
14579536	877
16272469	104
49650310	233
15197181	523
7751409	1053
17916549	766
7459221	540
9001623	809
35495295	1675
35495294	1545
33070146	1462
15394142	1466
18678271	1361
15357081	2183
15357077	2159
35450538	1327
18295122	876
18129738	1463
15789905	2098
9010922	1836
20049317	2070
9001963	1866
19579973	1622
20049451	1553
20049341	1525
8567404	2154
8442511	3456
